INSERT INTO `alumno` VALUES ('20150001', 'Almaraz', 'Remigio', 'Manuel Alejandro', 'Ma Elena', 'priv macadamia', 'Huehuetoca', 54689, '5519093222', '5545746226', '15/16');
INSERT INTO `alumno` VALUES ('20150002', 'Ortiz', 'Calleja', 'Dayan', 'Laura', 'Constitucion de 1857', 'Tultitlan', 54680, '5511092242', '5542246426', '15/16');
INSERT INTO `alumno` VALUES ('20150003', 'Serrano', 'Rodriguez', 'Victor Antonio', 'Beni', 'Republica Mexicana', 'Coacalco', 52334, '5518293112', '5511746426', '15/16');
INSERT INTO `alumno` VALUES ('20150004', 'Martinez', 'Romero', 'Jose Luis', 'Liliana Romero', 'priv macadamia', 'Huehuetoca', 54689, '5519093222', '5545746226', '15/16');
INSERT INTO `alumno` VALUES ('20150005', 'Urzaiz', 'Mendoza', 'Maria', 'Josefina', 'Calle S/n', 'Cuatitlan Izcalli', 54689, '5519093222', '5545746226', '15/16');
INSERT INTO `alumno` VALUES ('20150006', 'Duarte', 'Hernandez', 'Alejandra', 'Elena', 'priv macadamia', 'Huehuetoca', 54689, '5519093222', '5545746226', '15/16');
INSERT INTO `alumno` VALUES ('20150007', 'Luna', 'Melendez', 'Jose Manuel', 'Luis Antonio', ' Calle Victoria', 'Coacalco', 54189, '5519093222', '5545746226', '15/16');
INSERT INTO `alumno` VALUES ('20150008', 'Hernandez', 'Guimenez', 'Adriana', 'Luis Antonio', 'Priv Platano', 'Huehetoca', 54189, '5519093222', '5545746226', '15/16');
INSERT INTO `alumno` VALUES ('20150009', 'Londres', 'Guimenez', 'Viridiana', 'Guadalupe', 'Calle resureccion', 'Huehetoca', 54189, '5519093222', '5545746226', '15/16');
INSERT INTO `alumno` VALUES ('20150010', 'Perez', 'Andres', 'Victor', 'Guadalupe Andres', 'Calle resureccion', 'Huehetoca', 54189, '5519093222', '5545746226', '15/16');
INSERT INTO `alumno` VALUES ('20150011', 'Badillo', 'Badillo', 'Mariela', 'Andrea', 'Calle ZZ', 'Coacalco', 54122, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150012', 'Badillo', 'Herrera', 'Jose Maria', 'Lizbetth Herrera', 'Calle YY', 'Coacalco', 54122, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150013', 'Bruan', 'Martinez', 'Jose Luis', 'Maria Martinez', 'Calle WW', 'Coacalco', 54122, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150014', 'Bruan', 'Martinez', 'Jose Luis', 'Maria Martinez', 'Calle WW', 'Coacalco', 54122, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150015', 'Hernandez', 'Martinez', 'Jose', 'Maria Hernandez', 'Calle WW', 'Coacalco', 54122, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150016', 'Veltran', 'Martinez', 'Laura', 'Luisa Martinez', 'Calle SS', 'Coacalco', 54122, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150017', 'Vyera', 'Martinez', 'Miguel', 'Jane Martinez', 'Calle SS', 'Coacalco', 54122, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150018', 'Lopez', 'Cruz', 'Eduardo', 'Mariana Cruz', 'Calle OO', 'Coacalco', 54122, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150019', 'Remigio', 'Hernandez', 'Liliana', 'Juana Hernandez', 'Privada Sandia', 'Huehetoca', 54122, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150020', 'Alpizar', 'London', 'Miriam', 'Luisa London', 'Constitucion de 1990', 'Tultitlan', 54121, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150021', 'Bautista', 'Alcantar', 'Valeria', 'Beatriz Alcantar', 'Canal de chalco', 'Coacalco', 54121, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150022', 'Bautista', 'Alcantar', 'Valeria', 'Beatriz Alcantar', 'Canal de chalco', 'Coacalco', 54121, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150023', 'Catedral', 'Alcantar', 'Belinda', 'Beatriz Alcantar', 'Canal de chalco', 'Coacalco', 54121, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150024', 'Guzman', 'Martinez', 'Ana', 'Josegina Martinez', 'Cinematica Jose', 'Coacalco', 54121, '55191233222', '55454126226', '15/16');
